Nro Usuario HR,Nro Usuario HPH,Nombre y Apellido,Mensajes,Galeones,ATK,DEF,Casa,Vida,Año,Bando,Raza,Sexo,Miembro,Edad,Empleo OnRol,Empleo OffRol,Orientación Sexual,Patronus,Habilidades,Sangre,Avatar,Directorio,Activo,,Link HR,LINK HPH
u3083,72,A. Hyde Lestrange,,,,,Ravenclaw,Adulto,A,Neutral,Vampiro,Hombre,-,100,Vicedirector/ Profesor de Transformaciones,Jefe de Ravenclaw,Bisexual,Thunderbird,-,Pura,https://i.imgur.com/lGu07E4.png,Si,Si,,"<a href=""https://www.hogwartsrol.com/u3083"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=72"">"
u3426,127,A. Caelus Iacovone,,,,,,,,,,,,,,,,,,,,,Si,,"<a href=""https://www.hogwartsrol.com/u3426"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=127"">"
u2593,45,Achilles C. Feehily,,,,,Gryffindor,Estudiante,6,Auror,Sirena,Hombre,Auror,16,Capitán de Gryffindor / A. Auror,-,Bisexual,Castor,-,Pura,https://i.imgur.com/kJ314uk.png,Si,Si,,"<a href=""https://www.hogwartsrol.com/u2593"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=45"">"
u1691,52,Adèle H. V. Gaunt,,,,,Hufflepuff,Estudiante,7,Mortífago,Veela,Mujer,Mortífago,17,A. Mortífago / A. Academia,-,Bisexual,Dragón Colacuerno Húngaro,Parsel,Pura,https://i.imgur.com/ltSMCpT.png,Si,Si,,"<a href=""https://www.hogwartsrol.com/u1691"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=52"">"
u74,150,Adrianne Anderson,,,,,Ravenclaw,Adulto,A,Neutral,Humano,Mujer,-,40,-,-,Heterosexual,Cisne Negro,-,Pura,https://i.imgur.com/snNaNQc.jpg,Si,Si,,"<a href=""https://www.hogwartsrol.com/u74"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=150"">"
u3097,117,Aegis S. D. Lestrange,,,,,Hufflepuff,Adulto,A,Neutral,Vampiro,Hombre,-,103,Enfermero Hogwarts,,Bisexual,Corgi Galés de Pembroke,-,Pura,https://i.imgur.com/48s9vcb.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3097"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=117"">"
u2789,112,Aiden Ward,,,,,Hufflepuff,Estudiante,6,Neutral,Humano,Hombre,-,17,Golpeador Hufflepuff,Tecnomago Programador / Moderador Camara Expedicion,Heterosexual,Cuervo de Alaska,-,Pura,https://i.imgur.com/bwDWcaD.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2789"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=112"">"
u2510,71,Alan S. Feehily,,,,,Gryffindor,Estudiante,6,Neutral,Híbrido Ve+S,Hombre,Auror,17,Golpeador Gryffindor / A. Auror,-,Bisexual,León marino,-,Mestiza,https://i.imgur.com/edOcdFY.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2510"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=71"">"
u71,175,Albus S. Potter,,,,,Slytherin,Adulto,A,Auror,Humano,Hombre,-,45,-,-,Heterosexual,León,-,Pura,https://i.imgur.com/FYTKwS8.jpg,Si,,,"<a href=""https://www.hogwartsrol.com/u71"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=175"">"
u2165,92,Aleksandr I. Romanov,,,,,Hufflepuff,Estudiante,7,Neutral,Vampiro,Hombre,-,17,Prefecto Hufflepuff / A. Uso Incorrecto de la Magia,-,Indefinido,Pigargo Gigante,-,Pura,https://i.imgur.com/96bBS1G.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2165"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=92"">"
