name|imgurUrl
Abrigo|https://i.imgur.com/ccpN9Zj.png
Anillo de Compromiso|https://i.imgur.com/OiEe9Mz.png
Anillo de Gryffindor|https://i.imgur.com/qUz0u5M.png
Anillo de Hufflepuff|https://i.imgur.com/XwJN7tg.png
Anillo de Ravenclaw|https://i.imgur.com/vMwHfZH.png
Anillo de Slytherin|https://i.imgur.com/BXJnb1u.png
Anillo Lunar|https://i.imgur.com/RNF8AAY.png
Anillos de Boda|https://i.imgur.com/Q3uqo3K.png
Árbol Navideño|https://i.imgur.com/AFT7SP4.png
Bastón de Caramelo|https://i.imgur.com/qbjdVwo.png
Baúl Mágico|https://i.imgur.com/94BekCi.png
Bola de Cristal|https://i.imgur.com/0kH8KJo.jpg
Bolso con Hechizo Expansible|https://i.imgur.com/FnXNyw9.png
Botas de Piel de Dragón|https://i.imgur.com/J14oL0o.png
Botas de Velocidad|https://i.imgur.com/xwO1nIP.png
Brazalete|https://i.imgur.com/9PuZvBV.png
Caja de Música|https://i.imgur.com/kev9x31.png
Caldero de Oro|https://i.imgur.com/gH4PaOv.png
Caldero de Peltre|https://i.imgur.com/tV5ykph.png
Capa de Invisibilidad|https://i.imgur.com/K2KTOm9.png
Celular|https://i.imgur.com/GZI076E.png
Chalina|https://i.imgur.com/C18Mldz.png
Collar|https://i.imgur.com/UcnuJsc.png
Consola|https://i.imgur.com/Re1WnDa.png
Galleta de Jengibre|https://i.imgur.com/T0VATTt.png
Gemelos|https://i.imgur.com/Zc0SQvD.png
Guantes de Piel de Dragón|https://i.imgur.com/HZ3d4F8.png
Guitarra|https://i.imgur.com/BJiqhew.png
Ítem Exclusivo nv1|https://i.imgur.com/4KSO3N3.png
Ítem Exclusivo nv2|https://i.imgur.com/dlKmv2A.png
Ítem Exclusivo nv3|https://i.imgur.com/6nWpJmm.png
Mazo de Cartas del Tarot|https://i.imgur.com/HRqZFy4.png
Muérdago|https://i.imgur.com/QkTPCkn.png
Oso de Peluche|https://i.imgur.com/Ihdo220.png
Péndulo de Cuarzo Blanco|https://i.imgur.com/Y4drYlI.png
Pensadero|https://i.imgur.com/esK7Mra.jpg
Perfume|https://i.imgur.com/h3XSHyh.png
Piano|https://i.imgur.com/lHN27pm.png
Piedra de la Vida|https://i.imgur.com/XaNt85W.png
Pluma Vuelapluma|https://i.imgur.com/YG6Ad6z.png
Ramo de Flores|https://i.imgur.com/wBrf4eA.jpg
Regalo|https://i.imgur.com/Wmof45A.png
Reloj de Bolsillo|https://i.imgur.com/01C0tCe.png
Salida de Azkaban|https://i.imgur.com/aDQt0eX.png
Skate|https://i.imgur.com/HiEAfke.png
Set de Runas|https://i.imgur.com/sP2Axi8.png
Talismán Rúnico|https://i.imgur.com/NETlNjI.png
Telescopio|https://i.imgur.com/RKORr6h.png
Telescopio de Oro|https://i.imgur.com/XCd0Vmp.png
Traje de Resistencia al Agua|https://i.imgur.com/VPYJWr8.png
Traje de Resistencia a la Electricidad|https://i.imgur.com/v91Herw.png
Traje de Resistencia al Frío|https://i.imgur.com/eGxCaSR.png
Traje de Resistencia al Fuego|https://i.imgur.com/3BaZ1eu.png
Traje formal|https://i.imgur.com/zbAgjkQ.png
Túnica de Gala|https://i.imgur.com/Mu6bVQG.png
Vestido|https://i.imgur.com/n9WVNhj.png
Vestido de Gala|https://i.imgur.com/vhniyBX.png
Vestido de Novia|https://i.imgur.com/LYM46MS.jpg
Arco|https://i.imgur.com/VRNPkwa.png
Ballesta|https://i.imgur.com/ZeFePZP.png
Daga|https://i.imgur.com/fGBYuqK.png
Daga Doble|https://i.imgur.com/F1fTPE7.png
Escudo|https://i.imgur.com/qANoWYq.png
Espada|https://i.imgur.com/vVGAZfc.png
Espada Corta|https://i.imgur.com/I3yCdSj.png
Hacha|https://i.imgur.com/ZXGqvre.png
Katana|https://i.imgur.com/jsfsR7Q.png
Mandoble|https://i.imgur.com/kdIB7Rv.png
Navaja Suiza|https://i.imgur.com/XEUeyPV.png
Punzón|https://i.imgur.com/YWVNDja.png
Abraxan|https://i.imgur.com/o0CMEgh.png
Aethonan|https://i.imgur.com/Gs10Lbc.png
Ardilla|https://i.imgur.com/dzUAfuH.png
Ave Fénix|https://i.imgur.com/z0eNcUU.jpg
Ave Ninfa|https://i.imgur.com/KZCsBUs.png
Bowtruckle|https://i.imgur.com/7NAoJaC.png
Búho Real|https://i.imgur.com/y5c81hX.png
Búho Real Euroasiático|https://i.imgur.com/1EReaNB.png
Búho del Desierto|https://i.imgur.com/XgWS5pk.png
Caballo Andaluz|https://i.imgur.com/BEN149d.png
Carpincho|https://i.imgur.com/QseNTiV.png
Caballo Frisón|https://i.imgur.com/TVNWAWA.png
Cabra|https://i.imgur.com/1WWailc.png
Cerdito doméstico|https://i.imgur.com/yUJiP8V.png
Chizpurfle|https://i.imgur.com/0MtwkcP.png
Clabbert|https://i.imgur.com/q6HjHQn.png
Conejo|https://i.imgur.com/QJhKyK8.png
Crup|https://i.imgur.com/auxRWNb.jpg
Cuervo|https://i.imgur.com/go9zcJA.png
Cuyo|https://i.imgur.com/cjsxSw8.png
Demiguise|https://i.imgur.com/K9QfW22.png
Diricawl|https://i.imgur.com/PGJi4XD.png
Elfos Domésticos 1|https://i.imgur.com/P1pAClY.png
Elfos Domésticos 2|https://i.imgur.com/UVdqF7U.png
Elfos Domésticos 3|https://i.imgur.com/zpzQLLg.png
Elfos Domésticos 4|https://i.imgur.com/9y1QuA9.png
Elfos Domésticos 5|https://i.imgur.com/cBakami.png
Elfos Domésticos 6|https://i.imgur.com/Lyp0Jp5.png
Elfos Domésticos 7|https://i.imgur.com/PJGZC49.png
Elfos Domésticos 8|https://i.imgur.com/wBhQHY5.png
Elfos Domésticos 9|https://i.imgur.com/gXQre4O.png
Erizo|https://i.imgur.com/vsL7IQc.png
