"itemid","name","image","description","price","stock","module","info1","info2","info3","info4","input_needed","can_use_item","delete_after_use","catid","status","itemlimit"
"1","Abrigo","migrated/Objetos____Generales____Abrigo.png","Un sencillo abrigo que te protegerá en aquellos días de frío.","80","999","0","0","0","0","0","0","0","0","1","0","0"
"2","Anillo de Compromiso","migrated/Objetos____Generales____Anillo_de_Compromiso.png","¿Ya tienes a la persona indicada? ¿Quieres boda? ¡No te olvides de darle el Anillo de Compromiso!","250","999","0","0","0","0","0","0","0","0","1","0","0"
"3","Anillo de Gryffindor","migrated/Objetos____Generales____Anillo_de_Gryffindor.png","Un anillo emblemático de la casa de los leones.","500","999","0","0","0","0","0","0","0","0","1","0","0"
"4","Anillo de Hufflepuff","migrated/Objetos____Generales____Anillo_de_Hufflepuff.png","Un anillo emblemático de la casa de los tejones.","500","999","0","0","0","0","0","0","0","0","1","0","0"
"5","Anillo de Ravenclaw","migrated/Objetos____Generales____Anillo_de_Ravenclaw.png","Un anillo emblemático de la casa de las águilas.","500","999","0","0","0","0","0","0","0","0","1","0","0"
"6","Anillo de Slytherin","migrated/Objetos____Generales____Anillo_de_Slytherin.png","Un anillo emblemático de la casa de las serpientes.","500","999","0","0","0","0","0","0","0","0","1","0","0"
"7","Anillo Lunar","migrated/Objetos____Generales____Anillo_Lunar.png","Anillo de plata engarzado con lapislázuli que muestra tu estado de ánimo representando una cara de la luna en función de ello.","250","999","0","0","0","0","0","0","0","0","1","0","0"
"8","Anillos de Boda","migrated/Objetos____Generales____Anillos_de_Boda.png","Para aquella parejita que se va a casar <i>(con la compra de uno obtienes para los dos)</i>","250","999","0","0","0","0","0","0","0","0","1","0","0"
"9","Árbol Navideño","migrated/Objetos____Generales____rbol_Navideo.png","Este bello árbol decorativo es el centro de una de las celebraciones más famosas del mundo mágico. Compra el tuyo para estas fiestas.","900","999","0","0","0","0","0","0","0","0","1","0","0"
"10","Bastón de Caramelo","migrated/Objetos____Generales____Baston_de_Caramelo.png","La típica golosina de la época invernal ¿tienes el tuyo ya?","90","999","0","0","0","0","0","0","0","0","1","0","0"
"11","Baúl Mágico","migrated/Objetos____Generales____Baul_Magico.png","Un práctico Baúl para llevar tus pertenencias, tiene aplicado un hechizo poderoso para albergar un par de habitaciones (no sirve como casa)","150","999","0","0","0","0","0","0","0","0","1","0","0"
"12","Bola de Cristal","migrated/Objetos____Generales____Bola_de_Cristal.jpg","¿Quieres ver el futuro? La clásica Bola de Cristal te ayudará a ver algunas cosas. No garantiza que sepas interpretarlas.","50","999","0","0","0","0","0","0","0","0","1","0","0"
"13","Bolso con Hechizo Expansible","migrated/Objetos____Generales____Bolso_con_Hechizo_Expansible.png","Bolso con un hechizo de expansión, parece infinito para guardar cosas. No se recomienda almacenar muebles y los alimentos no conservan durante mucho tiempo su calidad aquí dentro.","240","999","0","0","0","0","0","0","0","0","1","0","0"
"14","Botas de Piel de Dragón","migrated/Objetos____Generales____Botas_de_Piel_de_Dragon.png","Unas prácticas y cómodas botas de piel de dragón, son bastante resistencias.","60","999","0","0","0","0","0","0","0","0","1","0","0"
"15","Botas de Velocidad","migrated/Objetos____Generales____Botas_de_Velocidad.png","¿Necesitas adquirir un poco de ventaja? Las botas de velocidad te otorgan un poco de velocidad y de agilidad, eso no te hará el más veloz del mundo pero ayudan.","100","999","0","0","0","0","0","0","0","0","1","0","0"
"16","Brazalete","migrated/Objetos____Generales____Brazalete.png","Un sencillo y fino brazalete para adornar tu muñeca.","90","999","0","0","0","0","0","0","0","0","1","0","0"
"17","Caja de Música","migrated/Objetos____Generales____Caja_de_Musica.png","Una sencilla cajita musical, es receptiva a la magia.","250","999","0","0","0","0","0","0","0","0","1","0","0"
"18","Caldero de Oro","migrated/Objetos____Generales____Caldero_de_Oro.png","Un excelente caldero de oro, las pociones son mejores pero no todas son compatibles con el material.","360","999","0","0","0","0","0","0","0","0","1","0","0"
"19","Caldero de Peltre","migrated/Objetos____Generales____Caldero_de_Peltre.png","El clásico caldero de peltre, no es la mejor calidad pero pueder realizar cualquier poción con el mismo.","120","999","0","0","0","0","0","0","0","0","1","0","0"
"20","Capa de Invisibilidad","migrated/Objetos____Generales____Capa_de_Invisibilidad.png","Una clásica capa de Invisibilidad, tiene poca durabilidad y no garantiza volverte completamente invisible.","500","999","0","0","0","0","0","0","0","0","1","0","0"
"21","Celular","migrated/Objetos____Generales____Celular.png","Un clásico aparato de comunicación telefónica. A más presencia de magia a su alrededor más fallas tiene por lo que en Hogwarts NO funciona.","1500","999","0","0","0","0","0","0","0","0","1","0","0"
"22","Chalina","migrated/Objetos____Generales____Chalina.png","Chalina para abrigarte del frío.","200","999","0","0","0","0","0","0","0","0","1","0","0"
"23","Collar","migrated/Objetos____Generales____Collar.png","Un hermoso collar que puedes portar para adornar tu cuello.","180","999","0","0","0","0","0","0","0","0","1","0","0"
"24","Consola","migrated/Objetos____Generales____Consola.png","Posee una cantidad tan enorme de videojuegos que creeras que es infinita. A más presencia de magia a su alrededor más fallas tiene por lo que en Hogwarts NO funciona.","1700","999","0","0","0","0","0","0","0","0","1","0","0"
"25","Galleta de Jengibre","migrated/Objetos____Generales____Galleta_de_Jengibre.png","Una hermosa galleta de jengibre mágica, como las ranas de chocolate tiene vida.","90","999","0","0","0","0","0","0","0","0","1","0","0"
"26","Gemelos","migrated/Objetos____Generales____Gemelos.png","Un par de gemelos elegantes para adornar tus puños.","150","999","0","0","0","0","0","0","0","0","1","0","0"
"27","Guantes de Piel de Dragón","migrated/Objetos____Generales____Guantes_de_Piel_de_Dragon.png","Unos guantes resistentes, los mejores del mercado, aptos tanto para altas y bajas temperaturas como a la manipulación de sustancias corrosivas.","140","999","0","0","0","0","0","0","0","0","1","0","0"
"28","Guitarra","migrated/Objetos____Generales____Guitarra.png","Este hermoso instrumento ayudara a amenizar todas tus reuniones.","700","999","0","0","0","0","0","0","0","0","1","0","0"
"29","Ítem Exclusivo nv1","migrated/Objetos____Generales____tem_Exclusivo_nv1.png","¿Deseas la exclusividad de tener algo que no se encuentre en la tienda? ¡Este es el ítem para ti! <i>Al comprarlo el Staff se comunicará para coordinar la entrega del ítem.</i>","10000","999","0","0","0","0","0","0","0","0","1","0","0"
"30","Ítem Exclusivo nv2","migrated/Objetos____Generales____tem_Exclusivo_nv2.png","Es un artículo que no se encuentra en la tienda y que puedes compartir con otra persona. <i>Al comprarlo el Staff se comunicará para coordinar la entrega del ítem.</i>","20000","999","0","0","0","0","0","0","0","0","1","0","0"
"31","Ítem Exclusivo nv3","migrated/Objetos____Generales____tem_Exclusivo_nv3.png","¿Tu clan, tu grupo o tu familia tienen una insignia única? Con este ítem puedes comprarla y compartirla con otras 5 personas. <i>Al comprarlo el Staff se comunicará para coordinar la entrega del ítem.</i>","40000","999","0","0","0","0","0","0","0","0","1","0","0"
"32","Mazo de Cartas del Tarot","migrated/Objetos____Generales____Mazo_de_Cartas_del_Tarot.png","Un mazo completo de cartas del tarot para que intentes ver el futuro.","0","0","0","0","0","0","0","0","0","0","1","0","0"
"33","Muérdago","migrated/Objetos____Generales____Muerdago.png","Las hojas de este arbusto son utilizadas para decorar en navidad.","70","999","0","0","0","0","0","0","0","0","1","0","0"
"34","Oso de Peluche","migrated/Objetos____Generales____Oso_de_Peluche.png","Un adorable y suave oso de peluche.","110","999","0","0","0","0","0","0","0","0","1","0","0"
"35","Péndulo de Cuarzo Blanco","migrated/Objetos____Generales____Pendulo_de_Cuarzo_Blanco.png","Piedra de cuarzo blanco engastada en un colgante de plata. Da una sensación de paz y quietud en la mente y en el cuerpo, limpiar y equilibrar las energías mentales, espirituales y emocionales positivas.","120","999","0","0","0","0","0","0","0","0","1","0","0"
"36","Pensadero","migrated/Objetos____Generales____Pensadero.jpg","La herramienta perfecta para volver a vivir tus recuerdos, recuerda que la mente es delicada al utilizarlo.","1500","999","0","0","0","0","0","0","0","0","1","0","0"
"37","Perfume","migrated/Objetos____Generales____Perfume.png","Una delicada botella con fragancias exquisitas.","150","999","0","0","0","0","0","0","0","0","1","0","0"
"38","Piano","migrated/Objetos____Generales____Piano.png","Deja que sus teclas acompañen aquella hermosa melodía que te sabes de memoria","800","999","0","0","0","0","0","0","0","0","1","0","0"
"39","Piedra de la Vida","migrated/Objetos____Generales____Piedra_de_la_Vida.png","Con esta piedra puedes volver a la vida, siguiendo las reglas del Sistema de Muertes. (Ítem de (1) un solo uso. No obsequiable)","3000","999","0","0","0","0","0","0","0","0","1","0","0"
"40","Pluma Vuelapluma","migrated/Objetos____Generales____Pluma_Vuelapluma.png","La Pluma Vuelapluma escribe mientras vos lo pensas, es como dictarle a alguien que escriba por ti, pero con el pensamiento.","200","999","0","0","0","0","0","0","0","0","1","0","0"
"41","Ramo de Flores","migrated/Objetos____Generales____Ramo_de_Flores.jpg","Un hermoso ramo con las flores más bellas y frescas.","40","999","0","0","0","0","0","0","0","0","1","0","0"
"42","Regalo","migrated/Objetos____Generales____Regalo.png","Un misterioso regalo ¿qué abrá dentro? solo quien lo abra lo sabrá","50","999","0","0","0","0","0","0","0","0","1","0","0"
"43","Reloj de Bolsillo","migrated/Objetos____Generales____Reloj_de_Bolsillo.png","¿Necesitas ver la hora de forma elegante? ¿No te sabes el hechizo <i>Tempus</i>? utiliza este práctico reloj de bolsillo.","100","999","0","0","0","0","0","0","0","0","1","0","0"
"44","Salida de Azkaban","migrated/Objetos____Generales____Salida_de_Azkaban.png","Ítem necesario para salir de Azkaban mediante el Sistema de detención. (Ítem de (1) un solo uso. No obsequiable)","3000","999","0","0","0","0","0","0","0","0","1","0","0"
"45","Skate","migrated/Objetos____Generales____Skate.png","Una tabla de madera con ruedas, entretenimiento de muchos jóvenes.","200","999","0","0","0","0","0","0","0","0","1","0","0"
"46","Set de Runas","migrated/Objetos____Generales____Set_de_Runas.png","Con este set puedes interpretar tu provenir.","60","999","0","0","0","0","0","0","0","0","1","0","0"
"47","Talismán Rúnico","migrated/Objetos____Generales____Talisman_Runico.png","Es un talismán el cual tiene propiedades mágicas inculcadas por su autor con poco alcance y de solo uso rolistico.","100","999","0","0","0","0","0","0","0","0","1","0","0"
"48","Telescopio","migrated/Objetos____Generales____Telescopio.png","Un bello telescopio, es muy avanzado en tecnología muggle, o al menos lo era en el siglo XXI.","120","999","0","0","0","0","0","0","0","0","1","0","0"
"49","Telescopio de Oro","migrated/Objetos____Generales____Telescopio_de_Oro.png","El más fino y delicado oro decora este tan bello objeto, con el mismo podrás ver las estrellas con elegancia.","360","999","0","0","0","0","0","0","0","0","1","0","0"
"50","Traje de Resistencia al Agua","migrated/Objetos____Generales____Traje_de_Resistencia_al_Agua.png","Este traje es impermeable y te permitirá sobrevivir un poco más bajo el agua.","250","999","0","0","0","0","0","0","0","0","1","0","0"
"51","Traje de Resistencia a la Electricidad","migrated/Objetos____Generales____Traje_de_Resistencia_a_la_Electricidad.png","Con este traje puedes resistir algunas cargas de energía pero no es infalible.","250","999","0","0","0","0","0","0","0","0","1","0","0"
"52","Traje de Resistencia al Frío","migrated/Objetos____Generales____Traje_de_Resistencia_al_Frio.png","Es muy bueno para resistir las bajas temperaturas, no previene congelamiento.","250","999","0","0","0","0","0","0","0","0","1","0","0"
"53","Traje de Resistencia al Fuego","migrated/Objetos____Generales____Traje_de_Resistencia_al_Fuego.png","Con este traje es probable que no te quemes, pero no es una garantía.","250","999","0","0","0","0","0","0","0","0","1","0","0"
"54","Traje formal","migrated/Objetos____Generales____Traje_formal.png","Un clásico traje que puedes utilizar en eventos importantes.","300","999","0","0","0","0","0","0","0","0","1","0","0"
"55","Túnica de Gala","migrated/Objetos____Generales____Tunica_de_Gala.png","Una hermosa túnica de gala, ideal para esas fiestas elegantes.","300","999","0","0","0","0","0","0","0","0","1","0","0"
"56","Vestido","migrated/Objetos____Generales____Vestido.png","Un clásico vestido que puedes utilizar en eventos importantes.","300","999","0","0","0","0","0","0","0","0","1","0","0"
"57","Vestido de Gala","migrated/Objetos____Generales____Vestido_de_Gala.png","Un clásico vestido de gala, ideal para esas fiestas elegantes.","300","999","0","0","0","0","0","0","0","0","1","0","0"
"58","Vestido de Novia","migrated/Objetos____Generales____Vestido_de_Novia.jpg","¿Te casas? Este es tu vestido.","500","999","0","0","0","0","0","0","0","0","1","0","0"
"59","Arco","migrated/Objetos____Armas_Blancas____Arco.png","Es un arma flexible que dispara flechas. Silencioso y preciso.","400","999","0","0","0","0","0","0","0","0","2","0","0"
"60","Ballesta","migrated/Objetos____Armas_Blancas____Ballesta.png","La forma mecánica del arco, reemplazando la fuerza muscular, por un sistema de poleas. Requiere más tiempo entre un disparo y otro.","800","999","0","0","0","0","0","0","0","0","2","0","0"
"61","Daga","migrated/Objetos____Armas_Blancas____Daga.png","Arma blanca de pequeña dimensión, usualmente del largo del antebrazo de su portador. Posee filo a ambos lados de la hoja, y suele utilizarse para los ataques por la espalda.","400","999","0","0","0","0","0","0","0","0","2","0","0"
"62","Daga Doble","migrated/Objetos____Armas_Blancas____Daga_Doble.png","Dos dagas, que conforman el uso para un estilo de combate llamado “Kali”.","600","999","0","0","0","0","0","0","0","0","2","0","0"
"63","Escudo","migrated/Objetos____Armas_Blancas____Escudo.png","Protección de acero o madera, de múltiples formas planas, que se utiliza para bloquear armas blancas o proyectiles.","500","999","0","0","0","0","0","0","0","0","2","0","0"
"64","Espada","migrated/Objetos____Armas_Blancas____Espada.png","Arma medieval de gran tamaño, con filo de ambos lados, y guarda ornamentada. Magos como Godric Gryffindor utilizaban este tipo de armas además de la magia.","650","999","0","0","0","0","0","0","0","0","2","0","0"
"65","Espada Corta","migrated/Objetos____Armas_Blancas____Espada_Corta.png","Una versión más corta de la espada. Más ágil y menos pesada.","450","999","0","0","0","0","0","0","0","0","2","0","0"
"66","Hacha","migrated/Objetos____Armas_Blancas____Hacha.png","Muy utilizada por leñadores y guardabosques. Sirve tanto para cortar madera, como para el combate.","500","999","0","0","0","0","0","0","0","0","2","0","0"
"67","Katana","migrated/Objetos____Armas_Blancas____Katana.png","Un derivado oriental de la espada. Fabricada en el arte de doblar el metal múltiples veces, para lograr un filo mucho más duradero, y extremadamente liviana.","700","999","0","0","0","0","0","0","0","0","2","0","0"
"68","Mandoble","migrated/Objetos____Armas_Blancas____Mandoble.png","Una espada tan grande que debe ser utilizada con ambas manos para blandirse. Requiere fuerza y destreza para utilizarla de forma correcta.","800","999","0","0","0","0","0","0","0","0","2","0","0"
