Nro Usuario,Nombre y Apellido,Casa,Vida,Año,Bando,Raza,Sexo,Miembro,Edad,Empleo OnRol,Empleo OffRol,Orientación Sexual,Patronus,Habilidades,Sangre,Avatar,Directorio
u3083,A. Hyde Lestrange,Ravenclaw,Adulto,A,Neutral,Vampiro,Hombre,-,100,Vicedirector/ Profesor de Transformaciones,Jefe de Ravenclaw,Bisexual,Thunderbird,-,Pura,https://i.imgur.com/lGu07E4.png,Si
u2593,Achilles C. Feehily,Gryffindor,Estudiante,6,Auror,Sirena,Hombre,Auror,16,Capitán de Gryffindor / A. Auror,-,Bisexual,Castor,-,Pura,https://i.imgur.com/kJ314uk.png,Si
u1691,Adèle H. V. Gaunt,Hufflepuff,Estudiante,7,Mortífago,Veela,Mujer,Mortífago,17,A. Mortífago / A. Academia,-,Bisexual,Dragón Colacuerno Húngaro,Parsel,Pura,https://i.imgur.com/ltSMCpT.png,Si
u74,Adrianne Anderson,Ravenclaw,Adulto,A,Neutral,Humano,Mujer,-,40,-,-,Heterosexual,Cisne Negro,-,Pura,https://i.imgur.com/snNaNQc.jpg,Si
u3097,Aegis S. D. Lestrange,Hufflepuff,Adulto,A,Neutral,Vampiro,Hombre,-,103,Enfermero Hogwarts,,Bisexual,Corgi Galés de Pembroke,-,Pura,https://i.imgur.com/48s9vcb.png,Si
u2789,Aiden Ward,Hufflepuff,Estudiante,6,Neutral,Humano,Hombre,-,17,Golpeador Hufflepuff,Tecnomago Programador / Moderador Camara Expedicion,Heterosexual,Cuervo de Alaska,-,Pura,https://i.imgur.com/bwDWcaD.png,Si
u2510,Alan S. Feehily,Gryffindor,Estudiante,6,Neutral,Híbrido Ve+S,Hombre,Auror,17,Golpeador Gryffindor / A. Auror,-,Bisexual,León marino,-,Mestiza,https://i.imgur.com/edOcdFY.png,Si
u71,Albus S. Potter,Slytherin,Adulto,A,Auror,Humano,Hombre,-,45,-,-,Heterosexual,León,-,Pura,https://i.imgur.com/FYTKwS8.jpg,Si
u2165,Aleksandr I. Romanov,Hufflepuff,Estudiante,7,Neutral,Vampiro,Hombre,-,17,Prefecto Hufflepuff / A. Uso Incorrecto de la Magia,-,Indefinido,Pigargo Gigante,-,Pura,https://i.imgur.com/96bBS1G.png,Si
u1079,Alessandro Cabane,Extranjero,Adulto,A,Neutral,Híbrdo Si+H,Hombre,-,45,Enfermero Hogwarts,-,Pansexual,Tiburón Blanco,Legeremancia,Pura,https://i.imgur.com/Ov7lZgL.png,Si
u2100,Alex Selwyn,Gryffindor,Adulto,A,Auror,Humano,Hombre,Auror,25,Sanador / T. Global Star Entertainment,-,Bisexual,Águila blanca,-,Pura,https://i.imgur.com/PkfxKbp.png,Si
u3191,Alexandra Cabane,Hufflepuff,Estudiante,1,Neutral,Semigigante,Mujer,-,11,Cazadora Hufflepuff,-,Asexual,Bisonte Americano,-,Pura,https://i.imgur.com/vXrgM7k.png,Si
u445,Alexei Anderson,Gryffindor,Adulto,A,Neutral,Humano,Hombre,-,42,-,-,Heterosexual,Leopardo Amur,-,Mestiza,https://i.imgur.com/3kDJa9d.png,Si
u3384,Alice Lovehearth,Hufflepuff,Estudiante,1,Neutral,Humano,Mujer,-,11,-,-,Bisexual,Lebrílope,-,Pura,https://i.imgur.com/AJfoycU.png,Si
u884,Amaranth G. Kreiss,Slytherin,Adulto,A,Neutral,Vampiro,Mujer,,27,,-,Bisexual,Gacela Thomson,-,Pura,https://i.imgur.com/TiGVGrb.png,Si
u1163,Amarie,-,-,-,-,Deidad,-,-,∞,-,-,-,-,-,-,https://i.imgur.com/eTftTB8.jpg,Si
u2500,Amelie Lacourt,Hufflepuff,Adulto,A,Auror,Vampiro,Mujer,-,113,Profesor Estudios Muggles / Profesional DRCM,-,Heterosexual,Jaguar,-,Pura,https://i.imgur.com/oJHJglG.png,Si
u3157,Amelie Rosier,Slytherin,Estudiante,7,Neutral,Humano,Mujer,-,18,A. de Sanador / A. de DCAO,Moderador de Gobstons,Bisexual,Serpiente Cobra Real,-,Pura,https://i.imgur.com/6yQ1xOr.png,Si
u1165,Amynus,-,-,-,-,Deidad,-,-,∞,-,-,-,-,-,-,https://i.imgur.com/OrVLous.jpg,Si
u2812,Archie Smith,Ravenclaw,Estudiante,6,Neutral,Humano,Hombre,-,16,A. de Pociones / Ayudante F&B,-,Bisexual,Delfín austral,-,Pura,https://i.imgur.com/D6bfx8W.png,Si
u2793,Ariadna Katsaros,Slytherin,Estudiante,6,Neutral,Humano,Mujer,-,15,Ayudante de Fleur,-,Homosexual,Fwooper,-,Pura,https://i.imgur.com/MvRRlKR.png,Si
u3022,Arikel McDowell,Slytherin,Estudiante,5,Neutral,Sirena,Mujer,-,15,Cazador Slytherin / Ayudante de Fleur,-,Bisexual,Delfín,Premonición,Pura,https://i.imgur.com/mF9jEpI.png,Si
u134,Arthur Beckett,Hufflepuff,Adulto,A,Auror,Humano,Hombre,-,32,-,-,Heterosexual,Gato de Patas Negras,-,Pura,https://i.imgur.com/gyrhSso.jpg,Si
u3049,Arthur Wright,Hufflepuff,Estudiante,6,Neutral,Humano,Hombre,-,18,-,-,Heterosexual,Ave Lira Soberbia,-,Pura,https://i.imgur.com/2siBNCM.png,Si
